Date,High,Low,Close,VolumeT,Volume
2018-04-09,16.70,16.50,16.70,19,24716
2018-04-10,16.90,16.60,16.90,24,13550
2018-04-11,16.90,16.80,16.80,3,3000
2018-04-12,16.90,16.00,16.90,23,11145
2018-04-16,17.00,16.90,16.90,2,700
2018-04-17,17.00,17.00,17.00,2,555
2018-04-18,17.30,17.00,17.10,5,805
2018-04-19,17.30,17.00,17.10,5,3700
2018-04-20,17.30,16.20,16.20,3,101
2018-04-23,16.30,16.30,16.30,1,1000
2018-04-24,16.40,16.40,16.30,1,10
2018-04-25,17.20,17.00,17.10,5,1765
2018-04-27,16.40,16.40,17.10,1,5
2018-05-01,17.20,16.20,16.20,3,251
2018-05-02,17.00,16.20,17.00,4,250
2018-05-03,17.00,17.00,17.00,3,41
2018-05-04,16.20,16.00,16.20,7,5903
2018-05-08,16.50,16.00,16.50,16,5706
2018-05-09,16.00,16.00,16.00,2,1008
2018-05-11,16.40,16.00,16.00,5,1505
2018-05-14,16.50,16.00,16.30,5,8545
2018-05-15,16.50,15.90,16.00,16,10807
2018-05-17,15.90,15.00,15.30,16,16106
2018-05-18,15.50,15.20,15.30,4,1300
2018-05-21,15.80,15.80,15.80,1,100
2018-05-22,15.80,15.10,15.80,3,60
2018-05-23,15.10,15.00,15.10,6,2050
2018-05-24,15.50,15.20,15.40,2,200
2018-05-25,15.00,14.00,14.00,13,2600
2018-05-28,15.40,15.00,15.30,4,132
2018-05-30,15.20,15.20,15.30,1,5
2018-06-05,14.50,14.00,14.00,4,120
2018-06-07,14.70,13.70,14.50,4,158
2018-06-08,13.70,13.50,13.60,2,105
2018-06-11,13.90,13.50,13.90,5,901
2018-06-12,13.50,13.50,13.50,3,250
