,Date,High,Low,Close,Volume,VolumeT,Gaus
242,2016-01-21,19.9,19.9,19.9,1,6,20.608687260390493
243,2016-01-22,21.0,20.4,20.8,11,1304,20.476231563019294
244,2016-01-25,21.3,20.4,20.5,6,5000,20.365502515760245
245,2016-01-26,21.0,19.9,19.9,33,10810,20.274448352980446
246,2016-01-27,20.0,19.9,19.9,7,4300,20.199872603942836
247,2016-01-28,20.0,20.0,20.0,5,1070,20.138125791752017
248,2016-01-29,20.0,19.9,20.0,5,611,20.0853088553398
249,2016-02-02,20.4,19.5,20.0,13,40010,20.037660833449415
250,2016-02-03,20.0,20.0,20.0,3,1021,19.991811320632966
251,2016-02-05,20.5,20.0,20.4,11,26091,19.944884199399198
252,2016-02-08,20.1,20.0,20.0,16,45050,19.8947045905279
253,2016-02-09,20.0,19.9,19.9,3,2241,19.839824816887095
254,2016-02-10,19.9,19.9,19.9,1,600,19.77945696888167
255,2016-02-11,19.9,19.7,19.7,8,6800,19.71340613388424
256,2016-02-12,20.0,19.7,19.7,8,2911,19.641814646421864
257,2016-02-15,19.7,19.6,19.6,6,1500,19.565126370950942
258,2016-02-16,19.6,19.5,19.5,3,406,19.483753547233114
259,2016-02-17,19.5,19.5,19.5,2,1350,19.397878514150268
260,2016-02-18,19.6,19.5,19.6,4,7813,19.307518588609103
261,2016-02-19,19.5,18.2,18.2,16,17562,19.212447506435424
262,2016-02-23,20.0,18.1,20.0,4,1700,19.112424022013194
263,2016-02-24,19.0,18.6,18.6,7,7110,19.007403499027912
264,2016-02-25,20.4,18.6,20.0,11,1701,18.89790410610649
265,2016-02-26,19.7,17.8,18.0,19,5172,18.785333332125003
266,2016-02-29,19.0,18.8,18.8,2,101,18.672146462141235
267,2016-03-01,19.5,18.0,19.5,20,26179,18.561925327615192
268,2016-03-03,19.1,18.0,18.3,17,33485,18.459147004389326
269,2016-03-04,18.3,18.0,18.0,7,39350,18.368838050604154
270,2016-03-08,18.1,17.5,17.5,14,9286,18.296019023015536
271,2016-03-09,18.0,17.0,17.3,7,3149,18.24507257761796
272,2016-03-10,18.0,17.4,17.9,7,1703,18.219258956961063
273,2016-03-11,18.2,18.0,18.0,19,9189,18.220274594143746
274,2016-03-14,18.0,18.0,18.0,5,3801,18.248099625218337
275,2016-03-15,18.0,17.9,17.9,7,6799,18.30103425574581
276,2016-03-16,18.4,17.7,18.2,6,900,18.375930324676627
277,2016-03-17,18.3,18.0,18.0,5,1000,18.468582476300924
278,2016-03-18,18.9,18.4,18.5,9,1080,18.574235078737193
279,2016-03-21,18.9,18.9,18.5,1,70,18.68807318920028
280,2016-03-23,19.8,18.9,19.0,12,6479,18.80568123759614
281,2016-03-24,20.0,19.4,19.7,13,5599,18.92343104810489
282,2016-03-28,20.0,19.6,19.8,7,893,19.03858443280938
283,2016-03-29,19.1,18.6,18.6,14,4715,19.149532455737443
284,2016-03-30,18.8,18.7,18.8,10,1399,19.255402770824187
285,2016-03-31,20.0,18.7,19.3,3,1400,19.356154407323764
286,2016-04-01,20.0,19.8,19.9,9,14012,19.452047813473136
